Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4112255,WHS3_41,COUNTRY,MAC,,YEAR,,,,2004,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
4113086,WHS3_41,COUNTRY,RUS,EUR,YEAR,Europe,,,1994,,,,,,,39 703,39703.0,,,,2025-07-14T16:36:19.017+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
4114230,WHS3_41,WORLDBANKINCOMEGROUP,WB_UMI,,YEAR,,,,2010,,,,,,,676,676.0,,,,2025-07-14T16:36:19.017+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4115748,WHS3_41,COUNTRY,MYS,WPR,YEAR,Western Pacific,,,2001,,,,,,,4,4.0,,,,2025-07-14T16:36:19.017+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
4117712,WHS3_41,COUNTRY,CPV,AFR,YEAR,Africa,,,2007,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
4118085,WHS3_41,COUNTRY,MNG,WPR,YEAR,Western Pacific,,,2006,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
4118904,WHS3_41,COUNTRY,KOR,WPR,YEAR,Western Pacific,,,2011,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4119632,WHS3_41,COUNTRY,BHS,AMR,YEAR,Americas,,,1983,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
4119866,WHS3_41,COUNTRY,SAU,EMR,YEAR,Eastern Mediterranean,,,2022,,,,,,,2,2.0,,,,2025-07-14T16:36:19.017+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
4123211,WHS3_41,COUNTRY,ZMB,AFR,YEAR,Africa,,,1997,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
4124779,WHS3_41,COUNTRY,KOR,WPR,YEAR,Western Pacific,,,1997,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
4125886,WHS3_41,COUNTRY,IND,SEAR,YEAR,South-East Asia,,,2013,,,,,,,3133,3133.0,,,,2025-07-14T16:36:19.017+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
4126887,WHS3_41,COUNTRY,LKA,SEAR,YEAR,South-East Asia,,,2012,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
4126967,WHS3_41,COUNTRY,COG,AFR,YEAR,Africa,,,2001,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
4128157,WHS3_41,COUNTRY,AUS,WPR,YEAR,Western Pacific,,,2011,,,,,,,4,4.0,,,,2025-07-14T16:36:19.017+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4128306,WHS3_41,COUNTRY,KNA,AMR,YEAR,Americas,,,1994,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
4128894,WHS3_41,COUNTRY,JAM,AMR,YEAR,Americas,,,2004,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
4129286,WHS3_41,COUNTRY,IRN,EMR,YEAR,Eastern Mediterranean,,,2020,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
4129611,WHS3_41,COUNTRY,MLT,EUR,YEAR,Europe,,,1993,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1993,1993-01-01T00:00:00+01:00,1993-12-31T00:00:00+01:00
4130781,WHS3_41,COUNTRY,IRL,EUR,YEAR,Europe,,,2019,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
4130928,WHS3_41,COUNTRY,MUS,AFR,YEAR,Africa,,,2022,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
4132692,WHS3_41,COUNTRY,MLT,EUR,YEAR,Europe,,,2008,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
4132891,WHS3_41,COUNTRY,EST,EUR,YEAR,Europe,,,1997,,,,,,,3,3.0,,,,2025-07-14T16:36:19.017+02:00,1997,1997-01-01T00:00:00+01:00,1997-12-31T00:00:00+01:00
4137369,WHS3_41,COUNTRY,GHA,AFR,YEAR,Africa,,,1985,,,,,,,1,1.0,,,,2025-07-14T16:36:19.017+02:00,1985,1985-01-01T00:00:00+01:00,1985-12-31T00:00:00+01:00
4139677,WHS3_41,COUNTRY,MSR,AMR,YEAR,Americas,,,1980,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1980,1980-01-01T00:00:00+01:00,1980-12-31T00:00:00+01:00
4139850,WHS3_41,COUNTRY,NRU,WPR,YEAR,Western Pacific,,,2010,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4139964,WHS3_41,COUNTRY,GHA,AFR,YEAR,Africa,,,2006,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
4141383,WHS3_41,COUNTRY,KAZ,EUR,YEAR,Europe,,,2011,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4142801,WHS3_41,COUNTRY,ZWE,AFR,YEAR,Africa,,,1987,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
4143330,WHS3_41,COUNTRY,NZL,WPR,YEAR,Western Pacific,,,1983,,,,,,,4,4.0,,,,2025-07-14T16:36:19.017+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
4144088,WHS3_41,COUNTRY,ISR,EUR,YEAR,Europe,,,2007,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
4145660,WHS3_41,COUNTRY,LSO,AFR,YEAR,Africa,,,2007,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
4146022,WHS3_41,COUNTRY,PNG,WPR,YEAR,Western Pacific,,,1978,,,,,,,14,14.0,,,,2025-07-14T16:36:19.017+02:00,1978,1978-01-01T00:00:00+01:00,1978-12-31T00:00:00+01:00
4147334,WHS3_41,COUNTRY,GUY,AMR,YEAR,Americas,,,1981,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1981,1981-01-01T00:00:00+01:00,1981-12-31T00:00:00+01:00
4148421,WHS3_41,COUNTRY,THA,SEAR,YEAR,South-East Asia,,,2022,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
4149357,WHS3_41,COUNTRY,PHL,WPR,YEAR,Western Pacific,,,2004,,,,,,,89,89.0,,,,2025-07-14T16:36:19.017+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
4150240,WHS3_41,COUNTRY,UKR,EUR,YEAR,Europe,,,2022,,,,,,,2,2.0,,,,2025-07-14T16:36:19.017+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00
4150931,WHS3_41,COUNTRY,URY,AMR,YEAR,Americas,,,1994,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
4153308,WHS3_41,COUNTRY,SWE,EUR,YEAR,Europe,,,1989,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1989,1989-01-01T00:00:00+01:00,1989-12-31T00:00:00+01:00
